night_date,n_hours,err,err_mw,a_share,f_share,wb,cum_cold_h,season,month,doy,dow,holiday,below,dist,campaign_start,campaign_night2
2022-12-15,11,-0.007980664238238915,-10.032454545454533,6.381564790307215,6.389545454545455,-1.7858618619974826,503.0,2022,12,349,3,0,0,0.21413813800251735,0,0
2022-12-16,11,0.079283690508707,4.623272727272737,6.420374599599617,6.341090909090909,-1.6899553485192775,510.0,2022,12,350,4,0,0,0.31004465148072247,0,0
2022-12-17,11,0.19277872339024668,-0.07890909090908528,6.53650599611752,6.343727272727273,-4.13051702917879,521.0,2022,12,351,5,0,1,-2.1305170291787903,1,0
2022-12-18,11,0.13068104104609238,12.076999999999988,6.393317404682457,6.262636363636363,-5.7757625986845875,545.0,2022,12,352,6,0,1,-3.7757625986845875,0,1
2022-12-19,11,0.05891759968887103,13.121181818181837,6.3695539633252345,6.310636363636363,-6.2654327409372605,569.0,2022,12,353,0,0,1,-4.2654327409372605,0,0
2022-12-20,11,0.04365163838157466,6.312909090909091,6.337378911108848,6.293727272727272,-10.293587473756672,593.0,2022,12,354,1,0,1,-8.293587473756672,0,0
2022-12-21,11,0.1859663209787583,28.458272727272742,6.444420866433304,6.258454545454546,-8.022611336826518,617.0,2022,12,355,2,1,1,-6.022611336826518,0,0
2022-12-22,11,0.05180306778341379,-2.19281818181819,6.384893976874323,6.3330909090909095,-0.5440590070010516,641.0,2022,12,356,3,1,0,1.4559409929989484,0,0
2022-12-23,11,0.45456656715187266,19.721454545454538,6.808657476242782,6.354090909090909,-16.267586354628914,646.0,2022,12,357,4,1,1,-14.267586354628914,0,0
2022-12-24,11,0.17119312162815872,47.55172727272727,6.61410221253725,6.442909090909091,-15.8636714444225,670.0,2022,12,358,5,1,1,-13.8636714444225,0,0
2022-12-25,11,0.2823311446416646,30.435818181818192,6.526694781005301,6.244363636363636,-11.335186322912492,694.0,2022,12,359,6,1,1,-9.335186322912492,0,0
2022-12-26,11,0.19476284970451713,-7.442909090909087,6.487035576977245,6.292272727272728,-9.864183785143085,718.0,2022,12,360,0,1,1,-7.864183785143085,0,0
2022-12-27,11,0.10607503905840122,3.960181818181819,6.441711402694765,6.335636363636365,-8.764289427539724,742.0,2022,12,361,1,1,1,-6.764289427539724,0,0
2022-12-28,11,0.18830390883978768,-2.8959090909090928,6.40012209065797,6.211818181818182,-3.331279603750319,766.0,2022,12,362,2,1,1,-1.331279603750319,0,0
2022-12-29,10,0.1491014137956272,-7.085799999999983,6.411701413795628,6.2626,3.598514151556126,779.0,2022,12,363,3,1,0,5.598514151556126,0,0
2022-12-30,11,0.1365657943128452,-6.302818181818204,6.5519294306764815,6.415363636363637,5.499574762441532,779.0,2022,12,364,4,1,0,7.499574762441532,0,0
2023-11-01,11,-0.1076638251406738,-13.381181818181817,6.329245265768417,6.436909090909091,-5.108342071603222,32.0,2023,11,305,2,0,1,-3.1083420716032224,0,0
2023-11-02,11,-0.002358667049076663,4.384818181818187,6.4060049693145595,6.408363636363637,-1.8618236402487973,50.0,2023,11,306,3,0,0,0.13817635975120268,0,0
2023-11-03,11,-0.03799350315982371,-3.634545454545456,6.450006496840175,6.4879999999999995,2.0774709912542657,54.0,2023,11,307,4,0,0,4.077470991254266,0,0
2023-11-04,12,-0.2410388417273933,-29.077916666666663,6.268711158272606,6.50975,3.439379494699264,54.0,2023,11,308,5,0,0,5.4393794946992635,0,0
2023-11-05,11,-0.10418882200976293,-18.540545454545466,6.259356632535691,6.363545454545454,-2.5805427798239147,54.0,2023,11,309,6,0,1,-0.5805427798239147,1,0
2023-11-06,11,0.04963496787333164,1.2686363636363571,6.374180422418786,6.324545454545454,4.421223475794117,64.0,2023,11,310,0,0,0,6.421223475794117,0,1
2023-11-07,11,-0.015880019241364576,-10.346545454545446,6.326210889849545,6.34209090909091,-3.4759042862161866,64.0,2023,11,311,1,0,1,-1.4759042862161866,0,0
2023-11-08,9,-0.048049219068585676,-9.773222222222216,6.33850633648697,6.386555555555556,-4.596857727290573,85.0,2023,11,312,2,0,1,-2.5968577272905726,0,0
2023-11-09,11,0.1099989596174149,22.503545454545453,6.412271686890142,6.302272727272728,1.2434140865767043,100.0,2023,11,313,3,0,0,3.2434140865767045,0,0
2023-11-10,11,-0.045880840189046375,-7.623999999999993,6.3515737052654995,6.397454545454545,-1.4904318677008186,100.0,2023,11,314,4,0,0,0.5095681322991814,0,0
2023-11-11,11,-0.19528907989216326,-23.612090909090913,6.195892738289655,6.391181818181818,-5.258164812302137,117.0,2023,11,315,5,0,1,-3.2581648123021374,1,0
2023-11-12,11,-0.18541192057551995,-8.677454545454545,6.161224443060845,6.346636363636364,-7.797994001342787,141.0,2023,11,316,6,0,1,-5.797994001342787,0,1
2023-11-13,11,-0.12510030848216216,-17.306181818181802,6.252172418790565,6.377272727272728,-1.7880174318745716,165.0,2023,11,317,0,0,0,0.21198256812542837,0,0
2023-11-14,11,-0.055940498679190445,-5.3309090909091,6.295241319502628,6.351181818181818,-1.8220223968719333,168.0,2023,11,318,1,0,0,0.17797760312806665,0,0
2023-11-15,11,0.08343958400720836,2.4190909090909,6.294621402189026,6.211181818181819,0.24243365536896358,173.0,2023,11,319,2,0,0,2.2424336553689637,0,0
2023-11-16,11,0.05031034621118533,1.1685454545454583,6.251310346211185,6.201,2.195117771751511,173.0,2023,11,320,3,0,0,4.1951177717515105,0,0
2023-11-17,11,-0.009921634040744077,-9.208090909090886,6.410623820504711,6.420545454545455,6.00181740171779,173.0,2023,11,321,4,0,0,8.00181740171779,0,0
2023-11-18,11,-0.11150103517429923,-15.098090909090915,6.250226237552973,6.361727272727273,-3.4076248353104974,178.0,2023,11,322,5,0,1,-1.4076248353104974,1,0
2023-11-19,11,-0.07638195633171256,-29.47990909090907,6.190436225486469,6.266818181818182,-5.682006069351809,190.0,2023,11,323,6,0,1,-3.682006069351809,0,1
2023-11-20,11,-0.05177607635990646,-8.909272727272734,6.238223923640093,6.29,-9.866731009155707,214.0,2023,11,324,0,0,1,-7.866731009155707,0,0
2023-11-21,11,-0.05505771834650972,-16.049363636363637,6.266669554380763,6.321727272727273,-2.139424522870781,238.0,2023,11,325,1,0,1,-0.1394245228707809,0,0
2023-11-22,9,-0.045712691714490106,-22.97533333333335,6.386842863841065,6.432555555555556,1.1296090582357479,244.0,2023,11,326,2,0,0,3.129609058235748,0,0
2023-11-23,11,-0.036962537544694675,-25.657090909090904,6.416855644273488,6.453818181818182,-0.2747148990255297,244.0,2023,11,327,3,0,0,1.7252851009744703,0,0
2023-11-24,11,0.04972587566563598,1.2673636363636391,6.339362239302,6.289636363636364,-10.784846834660895,258.0,2023,11,328,4,0,1,-8.784846834660895,1,0
2023-11-25,11,0.03304545766527258,14.864000000000003,6.378500003119817,6.345454545454545,-5.364711784933172,282.0,2023,11,329,5,0,1,-3.3647117849331716,0,1
2023-11-26,11,0.03287624439964079,-15.861818181818183,6.331421698945095,6.298545454545454,-0.3906227877367096,299.0,2023,11,330,6,0,0,1.6093772122632903,0,0
2023-11-27,11,-0.05364847601655159,-24.868272727272732,6.223896978528902,6.2775454545454545,-4.752057342577055,302.0,2023,11,331,0,0,1,-2.7520573425770554,0,0
2023-11-28,11,0.0703294106297278,11.961999999999989,6.314693046993364,6.244363636363636,-9.565843917339466,326.0,2023,11,332,1,0,1,-7.565843917339466,0,0
2023-11-29,11,0.028892394616681874,10.754818181818171,6.276710576434865,6.2478181818181815,-6.991491892085676,350.0,2023,11,333,2,0,1,-4.991491892085676,0,0
2023-11-30,11,0.05037390556747858,-5.82118181818183,6.367101178294751,6.316727272727272,0.09306134790462638,365.0,2023,11,334,3,0,0,2.0930613479046265,0,0
2023-12-01,11,0.02781782030085932,-14.30227272727272,6.512999638482677,6.485181818181818,1.6815626835166044,365.0,2023,12,335,4,0,0,3.6815626835166047,0,0
2023-12-02,11,-0.026959170920998865,-12.04590909090908,6.516859010897182,6.543818181818182,1.681546155083757,365.0,2023,12,336,5,0,0,3.681546155083757,0,0
2023-12-03,11,-0.04848255877987045,-2.0832727272727323,6.399699259401948,6.448181818181817,0.28009833552140717,365.0,2023,12,337,6,0,0,2.2800983355214073,0,0
2023-12-04,11,0.0013569631148039431,-9.901999999999992,6.401266054023895,6.399909090909091,-3.9380196581018327,365.0,2023,12,338,0,0,1,-1.9380196581018327,1,0
2023-12-05,11,-0.01679364926451641,-3.149000000000011,6.379206350735483,6.396,-5.891931101174638,388.0,2023,12,339,1,0,1,-3.891931101174638,0,1
2023-12-06,11,-0.03978162071802949,-11.93245454545454,6.315854742918334,6.355636363636364,-10.872059686475,412.0,2023,12,340,2,0,1,-8.872059686475,0,0
2023-12-07,11,-0.04038494950629066,0.2079090909090734,6.324887777766436,6.365272727272727,-6.282302717710085,436.0,2023,12,341,3,0,1,-4.282302717710085,0,0
2023-12-08,11,-0.015636738625741664,-16.970727272727274,6.43909053410153,6.454727272727272,-1.4162229739949395,459.0,2023,12,342,4,0,0,0.5837770260050605,0,0
2023-12-09,11,-0.09799420361678218,-32.31681818181819,6.39473306911049,6.492727272727273,3.5811248394466846,462.0,2023,12,343,5,0,0,5.581124839446685,0,0
2023-12-10,11,-0.11825944793601922,-14.518181818181802,6.343831461154889,6.462090909090909,1.1776726991249917,462.0,2023,12,344,6,0,0,3.177672699124992,0,0
2023-12-11,11,-0.016824072886264026,3.5374545454545383,6.431721381659191,6.448545454545454,-5.463946045906838,463.0,2023,12,345,0,0,1,-3.4639460459068383,1,0
2023-12-12,11,0.0005952542192274893,0.6320000000000205,6.4379588905828635,6.437363636363637,-2.8933292435049007,487.0,2023,12,346,1,0,1,-0.8933292435049007,0,1
2023-12-13,11,-0.037867324245817506,-6.038818181818215,6.332859948481455,6.370727272727273,-9.407665637288344,511.0,2023,12,347,2,0,1,-7.4076656372883445,0,0
2023-12-14,11,0.001898652924830864,-1.1840909090908966,6.382898652924831,6.381,-3.4362870833607504,535.0,2023,12,348,3,0,1,-1.4362870833607504,0,0
2023-12-15,11,-0.09137163855945053,-23.684181818181813,6.447355634167821,6.5387272727272725,1.0339102515678709,544.0,2023,12,349,4,0,0,3.033910251567871,0,0
2023-12-16,11,-0.11856149283365988,-20.680818181818154,6.421893052620885,6.540454545454546,-0.9767957651191982,544.0,2023,12,350,5,0,0,1.0232042348808017,0,0
2023-12-17,11,-0.14153435306524934,-22.663272727272723,6.414192919662023,6.555727272727273,6.684806565880354,544.0,2023,12,351,6,0,0,8.684806565880354,0,0
2023-12-18,11,0.23147803674967796,-19.522090909090892,6.772205309476951,6.540727272727273,1.0682253786953746,544.0,2023,12,352,0,0,0,3.0682253786953746,0,0
2023-12-19,11,0.06297040431784996,-2.728636363636362,6.485697677045123,6.422727272727273,-7.144822830791133,552.0,2023,12,353,1,0,1,-5.144822830791133,1,0
2023-12-20,11,0.005873237284637996,-7.137727272727272,6.438509600921001,6.432636363636363,-6.422639288792974,576.0,2023,12,354,2,0,1,-4.422639288792974,0,1
